requirement_id,wave,page_slug,page_type,elementor_widget_id,section,slot_classification,required_or_optional,asset_source,subject,orientation,aspect_ratio,min_dimensions,preferred_format,safe_filename,alt_text_rule,geographic_claim_allowed,evidence_required,reuse_allowed,current_attachment_id,current_filename,required_action,owner_input,blocks_launch,notes
IMG-0001,conditional-minimum; Wave 1,homepage,home,306c538,6d2e538a — Concreters Camden,EXISTING-APPROVED,optional,existing re-encoded media,Exposed aggregate driveway leading to a home; visible purpose: Concreters Camden,landscape,1419:1064,1419x1064,JPEG,exposed-aggregate-residential-driveway-609.jpg,Exposed aggregate driveway leading to a home,no,D24/D20: reverse Adelaide to South West Sydney naming substitution,yes — decorative/non-evidential only,609,exposed-aggregate-residential-driveway-609.jpg,retain current generic placement,none,no,page_id=12; widget_type=e-image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0002,conditional-minimum; Wave 1,homepage,home,e8c038a,5f1f878 — Concrete Driveways / Exposed Aggregate / Concrete Slabs,EXISTING-APPROVED,optional,existing re-encoded media,Concrete project detail; visible purpose: Concrete Driveways,landscape,1411:1098,1411x1098,JPEG,concrete-project-detail-17.jpg,Concrete project detail,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,17,concrete-project-detail-17.jpg,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0003,conditional-minimum; Wave 1,homepage,home,8839302,5f1f878 — Concrete Driveways / Exposed Aggregate / Concrete Slabs,EXISTING-APPROVED,optional,existing re-encoded media,Concrete project detail; visible purpose: Exposed Aggregate,landscape,1411:941,1411x941,JPEG,concrete-project-detail-18.jpg,Concrete project detail,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,18,concrete-project-detail-18.jpg,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0004,conditional-minimum; Wave 1,homepage,home,ea0736d,5f1f878 — Concrete Driveways / Exposed Aggregate / Concrete Slabs,EXISTING-APPROVED,optional,existing re-encoded media,Concrete project detail; visible purpose: Concrete Slabs,landscape,1411:941,1411x941,JPEG,concrete-project-detail-19.jpg,Concrete project detail,no,D24/D20 naming-convention reversal,yes — decorative/non-evidential only,19,concrete-project-detail-19.jpg,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0005,conditional-minimum; Wave 1,homepage,home,0c5d989,6b2cdf8 — Paths & Pathways / Patios & Alfresco / Coloured & Decorative,EXISTING-APPROVED,optional,existing re-encoded media,Exposed aggregate paths leading to a home's front entry; visible purpose: Paths & Pathways,landscape,82:61,820x610,WebP,exposed-aggregate-front-paths-46.webp,Exposed aggregate paths leading to a home's front entry,no,owner-recorded Band B verdict; build/45-media-remediation.csv,yes — decorative/non-evidential only,46,exposed-aggregate-front-paths-46.webp,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0006,conditional-minimum; Wave 1,homepage,home,b751729,6b2cdf8 — Paths & Pathways / Patios & Alfresco / Coloured & Decorative,EXISTING-APPROVED,optional,existing re-encoded media,Freshly poured concrete slab beside a two-storey home; visible purpose: Patios & Alfresco,landscape,1103:812,1103x812,WebP,fresh-concrete-backyard-slab-47.webp,Freshly poured concrete slab beside a two-storey home,no,owner-recorded Band B verdict; build/45-media-remediation.csv,yes — decorative/non-evidential only,47,fresh-concrete-backyard-slab-47.webp,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0007,conditional-minimum; Wave 1,homepage,home,da41d16,6b2cdf8 — Paths & Pathways / Patios & Alfresco / Coloured & Decorative,EXISTING-APPROVED,optional,existing re-encoded media,Exposed aggregate paths leading to a home's front entry; visible purpose: Coloured & Decorative,landscape,82:61,820x610,WebP,exposed-aggregate-front-paths-46.webp,Exposed aggregate paths leading to a home's front entry,no,owner-recorded Band B verdict; build/45-media-remediation.csv,yes — decorative/non-evidential only,46,exposed-aggregate-front-paths-46.webp,retain current generic placement,none,no,page_id=12; widget_type=image-box; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0008,conditional-minimum; Wave 1,homepage,home,1542538,"dbb6996 — Camden ground, levels and council requirements",EXISTING-APPROVED,optional,existing re-encoded media,"Exposed aggregate driveway leading to a carport; visible purpose: Camden ground, levels and council requirements",landscape,1333:751,1333x751,WebP,exposed-aggregate-residential-driveway-48.webp,Exposed aggregate driveway leading to a carport,no,owner-recorded Band B verdict; build/45-media-remediation.csv,yes — decorative/non-evidential only,48,exposed-aggregate-residential-driveway-48.webp,retain current generic placement,none,no,page_id=12; widget_type=image; setting=image; decorative; permission=pipeline-permitted in derivative; source_geographic_claim=none in permitted derivative; project_claim=no; can be removed without loss of page meaning; derivative_slot=present
IMG-0009,conditional-minimum; Wave 1,homepage,home,5a4a4815,"7fc5ce03 — Camden ground, levels and council requirements",OPTIONAL-REMOVE,optional,existing re-encoded media,Empty reviewer portrait beside placeholder testimonial copy; visible purpose: [[PLACEHOLDER: verified reviewer name]],not applicable,not applicable,not applicable,not applicable,,not applicable — remove the testimonial widget,no,reports/45-testimonial-audit.md: unsupported placeholder testimonial,no,,,"remove the complete placeholder testimonial widget, not only its empty portrait",none unless a genuine documented testimonial is later supplied,yes for homepage publication,page_id=12; widget_type=testimonial; setting=testimonial_image; testimonial/review; permission=not permitted as a testimonial; source_geographic_claim=none in permitted derivative; project_claim=yes; can be removed without loss of page meaning; derivative_slot=present
IMG-0010,conditional-minimum; Wave 1,homepage,home,16805a15,"7fc5ce03 — Camden ground, levels and council requirements",OPTIONAL-REMOVE,optional,existing re-encoded media,Empty reviewer portrait beside placeholder testimonial copy; visible purpose: [[PLACEHOLDER: verified reviewer name]],not applicable,not applicable,not applicable,not applicable,,not applicable — remove the testimonial widget,no,reports/45-testimonial-audit.md: unsupported placeholder testimonial,no,,,"remove the complete placeholder testimonial widget, not only its empty portrait",none unless a genuine documented testimonial is later supplied,yes for homepage publication,page_id=12; widget_type=testimonial; setting=testimonial_image; testimonial/review; permission=not permitted as a testimonial; source_geographic_claim=none in permitted derivative; project_claim=yes; can be removed without loss of page meaning; derivative_slot=present
