figure,population,occurrences,post_id,slug,page_class,import_status,withdrawn,wave_assignment,attested,verified_in_service_specs,disposition,blocks_all_waves,context
1200mm,council-sourced-pending-verification,1,706,camden-council-driveway-crossing,guide,draft,YES,none — WITHDRAWN (D21),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"Council's recorded urban residential specification is 32 MPa concrete, 125mm thickness, SL72 fabric, 4.0-5.5m width, a 1200mm footpath allocation, 4% crossfall and maximum 1:6 batter. camden-council-driveway-guide lists decision owner; camden-council-driveway-guide leaves an aud"
1200mm,council-sourced-pending-verification,1,1369,commercial-concreting-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. hardstand-work scope tracks intended use; hardstand-work s"
1200mm,council-sourced-pending-verification,2,1467,concrete-crossovers-and-laybacks-oran-park,intersection,draft,YES,none — WITHDRAWN (D16),NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"tarts 800mm from the property boundary, not the 900mm that applies across the rest of the Camden LGA. The allocation is 1200mm wide either way. Get the layback set-out wrong by that 100mm and the crossover fails inspection. That differentiator controls the concrete crossovers and"
1200mm,council-sourced-pending-verification,1,1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Driveway C"
1200mm,council-sourced-pending-verification,1,1366,concrete-driveway-replacement-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in How Long B"
1200mm,council-sourced-pending-verification,1,105,concrete-driveways-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in What Actua"
1200mm,council-sourced-pending-verification,1,178,concrete-paths-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. pathway-work scope tracks intended use; pathway-work scope"
1200mm,council-sourced-pending-verification,1,195,concrete-patios-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. alfresco-slab scope logs intended use; alfresco-slab scope"
1200mm,council-sourced-pending-verification,1,163,concrete-slabs-south-west-sydney,service,publish,no,1,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. The evidence behind this decision is set out in Shed Slab"
1200mm,council-sourced-pending-verification,1,1371,concreters-catherine-field,suburb,draft,no,3 pending Stage 27,NO,NO,"FLAGGED IN PLACE - not deleted, not rounded",YES,"The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter. Before crossover work in Catherine Field starts, the gover"
