slug,post_id,status,in_allowlist,differentiator,differentiator_trace_pct,differentiator_traced,parent_service,parent_service_exists,links_up_to_service,parent_suburb,parent_suburb_exists,links_across_to_suburb,suburb_page_exists_first,status_is_draft,body_words
commercial-concreting-bringelly,1500,draft,yes,Bringelly is the closest residential locality to the Aerotropolis build-out. Western Sydney International opens to freig,1.00,yes,commercial-concreting-south-west-sydney,yes,yes,concreters-bringelly,yes,yes,yes,yes,2125
commercial-concreting-cobbitty,1499,draft,yes,"Machinery shed floors, stable slabs and workshop hardstands on acreage carry loads a residential slab never sees, on und",1.00,yes,commercial-concreting-south-west-sydney,yes,yes,concreters-cobbitty,yes,yes,yes,yes,2098
commercial-concreting-gregory-hills,1474,draft,yes,The Turner Road business precinct and Smeaton Grange sit directly alongside residential Gregory Hills. Forklift-rated fl,1.00,yes,commercial-concreting-south-west-sydney,yes,yes,concreters-gregory-hills,yes,yes,yes,yes,2118
commercial-concreting-narellan,1490,draft,yes,"Narellan Town Centre and Smeaton Grange make this the LGA's commercial spine. The highest-value jobs are carpark slabs, ",1.00,yes,commercial-concreting-south-west-sydney,yes,yes,concreters-narellan,yes,yes,yes,yes,2096
concrete-crossovers-and-laybacks-austral,1481,draft,yes,"Dual occupancies are the dominant development type, and each approved parking facility needs its own crossing. Liverpool",1.00,yes,concrete-crossovers-and-laybacks-south-west-sydney,yes,yes,concreters-austral,yes,yes,yes,yes,2974
concrete-crossovers-and-laybacks-currans-hill,1496,draft,yes,"Currans Hill lots are noticeably smaller than Mount Annan or Harrington Park, so driveways are short, single-width and h",1.00,yes,concrete-crossovers-and-laybacks-south-west-sydney,yes,yes,concreters-currans-hill,yes,yes,yes,yes,2981
concrete-crossovers-and-laybacks-leppington,1471,draft,yes,Leppington straddles the Camden and Liverpool council boundary. Two lots on opposite sides of the same street can requir,1.00,yes,concrete-crossovers-and-laybacks-south-west-sydney,yes,yes,concreters-leppington,yes,yes,yes,yes,2967
concrete-crossovers-and-laybacks-oran-park,1467,draft,yes,"The footpath allocation in Oran Park starts 800mm from the property boundary, not the 900mm that applies across the rest",1.00,yes,concrete-crossovers-and-laybacks-south-west-sydney,yes,yes,concreters-oran-park,yes,yes,yes,yes,3013
concrete-crossovers-and-laybacks-spring-farm,1494,draft,yes,Where the grade cannot meet Camden's standard specification the job goes to a Non-Standard Driveway Application with a w,1.00,yes,concrete-crossovers-and-laybacks-south-west-sydney,yes,yes,concreters-spring-farm,yes,yes,yes,yes,2971
concrete-driveway-replacement-currans-hill,1497,draft,yes,"Because the driveways are short, a full replacement here is often cheaper than the staged repair people expect to be quo",1.00,yes,concrete-driveway-replacement-south-west-sydney,yes,yes,concreters-currans-hill,yes,yes,yes,yes,2174
concrete-driveway-replacement-harrington-park,1484,draft,yes,The 1995-2010 stock is now 20 to 30 years old and failing at the edges and at the layback rather than mid-slab. Those dr,1.00,yes,concrete-driveway-replacement-south-west-sydney,yes,yes,concreters-harrington-park,yes,yes,yes,yes,2192
concrete-driveway-replacement-mount-annan,1492,draft,yes,"Mount Annan was built out through the 1990s, so its concrete is now 25 to 30 years old — exactly the age where driveways",1.00,yes,concrete-driveway-replacement-south-west-sydney,yes,yes,concreters-mount-annan,yes,yes,yes,yes,2192
concrete-driveway-replacement-narellan,1491,draft,yes,Narellan and Narellan Vale residential stock dates from the 1980s and 90s and is at end of life. Unlike the growth corri,1.00,yes,concrete-driveway-replacement-south-west-sydney,yes,yes,concreters-narellan,yes,yes,yes,yes,2155
concrete-driveways-austral,1479,draft,yes,"Austral is old five-acre market-garden blocks being cut up lot by lot, not a masterplanned estate. That produces 40 to 6",1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-austral,yes,yes,yes,yes,2151
concrete-driveways-catherine-field,1485,draft,yes,"Catherine Field is mid-transition. On one street it is a 4.5m urban crossover to Camden's 32 MPa, 125mm, SL72 standard; ",1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-catherine-field,yes,yes,yes,yes,2185
concrete-driveways-cobbitty,1498,draft,yes,"Most Cobbitty frontages have no kerb and gutter, so Council requires a standard concrete dish crossing aligned to the ta",1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-cobbitty,yes,yes,yes,yes,2170
concrete-driveways-edmondson-park,1489,draft,yes,Shared driveway aprons across lot boundaries raise a question no detached suburb raises: who pays. The answer sits in th,1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-edmondson-park,yes,yes,yes,yes,2159
concrete-driveways-leppington,1473,draft,yes,"Leppington was built by at least four developers running concurrently between Ingleburn Road and Heath Road, so handover",1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-leppington,yes,yes,yes,yes,2139
concrete-driveways-oran-park,1468,draft,yes,Oran Park builders hand over with the house complete and the driveway not poured. The first job on almost every lot is a,1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-oran-park,yes,yes,yes,yes,2167
concrete-driveways-spring-farm,1493,draft,yes,"Spring Farm sits on genuinely sloping ground, which the flat growth-corridor releases do not. Camden requires an average",1.00,yes,concrete-driveways-south-west-sydney,yes,yes,concreters-spring-farm,yes,yes,yes,yes,2178
concrete-paths-edmondson-park,1487,draft,yes,"A meaningful share of work here is strata rather than residential — common-area paths, bin-store slabs and shared drivew",1.00,yes,concrete-paths-south-west-sydney,yes,yes,concreters-edmondson-park,yes,yes,yes,yes,1857
concrete-patios-edmondson-park,1488,draft,yes,"Terraces and townhouses with no truck access mean courtyard slabs go in by barrow, kibble or line pump. That has to be p",1.00,yes,concrete-patios-south-west-sydney,yes,yes,concreters-edmondson-park,yes,yes,yes,yes,1849
concrete-patios-elderslie,1495,draft,yes,"Elderslie stock is mostly 2000s-era, which puts it in an awkward middle age — old enough that owners are upgrading outdo",1.00,yes,concrete-patios-south-west-sydney,yes,yes,concreters-elderslie,yes,yes,yes,yes,1851
concrete-patios-gledswood-hills,1478,draft,yes,"Cumberland Plain Woodland conservation overlays restrict truck access on parts of the estate, so alfresco and outdoor-ki",1.00,yes,concrete-patios-south-west-sydney,yes,yes,concreters-gledswood-hills,yes,yes,yes,yes,1857
