attachment_id,band,verdict,payload_action,current_filename,target_filename,target_title,target_alt,authority,usage_restriction
17,D,GENERIC,RENAME,concrete-project-detail-camden-17.jpg,concrete-project-detail-17.jpg,Concrete project detail,Concrete project detail,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
18,D,GENERIC,RENAME,concrete-project-detail-camden-18.jpg,concrete-project-detail-18.jpg,Concrete project detail,Concrete project detail,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
19,D,GENERIC,RENAME,concrete-project-detail-camden-19.jpg,concrete-project-detail-19.jpg,Concrete project detail,Concrete project detail,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
46,B,GENERIC,RENAME,concrete-tesimonial-4-camden-46.webp,exposed-aggregate-front-paths-46.webp,Exposed aggregate front paths,Exposed aggregate paths leading to a home's front entry,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
47,B,GENERIC,RENAME,concrete-testimonial-6-camden-47.webp,fresh-concrete-backyard-slab-47.webp,Fresh concrete backyard slab,Freshly poured concrete slab beside a two-storey home,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
48,B,GENERIC,RENAME,concrete-testimonial-3-camden-48.webp,exposed-aggregate-residential-driveway-48.webp,Exposed aggregate residential driveway,Exposed aggregate driveway leading to a carport,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
49,B,GENERIC,RENAME,concrete-testimonial-1-camden-49.webp,fresh-concrete-pool-surround-49.webp,Fresh concrete beside a swimming pool,Freshly poured concrete beside a swimming pool,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
50,D,GENERIC,RENAME,exposed-aggregate-concrete-camden-50.jpg,exposed-aggregate-concrete-50.jpg,Exposed aggregate concrete,Exposed aggregate concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
51,B,GENERIC,RENAME,concrete-testimonial-2-camden-51.webp,concrete-stepping-slabs-garden-path-51.webp,Concrete stepping slabs in a garden,Concrete stepping slabs laid through a garden,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
52,B,GENERIC,RENAME,concrete-testimonial-1-1-camden-52.webp,fresh-concrete-pool-surround-52.webp,Fresh concrete beside a swimming pool,Freshly poured concrete beside a swimming pool,owner-recorded Band B verdict; build/45-media-remediation.csv,Decorative only; never customer evidence or recent work
53,D,GENERIC,RENAME,patiosandpathways-camden-53.webp,patiosandpathways-53.webp,Patiosandpathways,Patiosandpathways,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
54,D,GENERIC,RENAME,coloured-detailed-concrete-camden-54.jpg,coloured-detailed-concrete-54.jpg,Coloured detailed concrete,Coloured detailed concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
55,D,GENERIC,RENAME,patiosconcrete-camden-55.jpg,patiosconcrete-55.jpg,Patiosconcrete,Patiosconcrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
121,D,GENERIC,RENAME,reinforcedheavydutyconcrete-camden-121.webp,reinforcedheavydutyconcrete-121.webp,Reinforcedheavydutyconcrete,Reinforcedheavydutyconcrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
144,D,GENERIC,RENAME,paths-and-pathwaysconcrete-camden-144.jpg,paths-and-pathwaysconcrete-144.jpg,Paths and pathwaysconcrete,Paths and pathwaysconcrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
145,D,GENERIC,RENAME,patiosandalfrescoconcrete-camden-145.jpg,patiosandalfrescoconcrete-145.jpg,Patiosandalfrescoconcrete,Patiosandalfrescoconcrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
146,D,GENERIC,RENAME,concretepoolsurronds-camden-146.jpg,concretepoolsurronds-146.jpg,Concretepoolsurronds,Concretepoolsurronds,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
159,D,RETIRED,EXCLUDE,chatgpt-image-jul-6-2026-01-52-19-pm-camden-159.png,,,,D24/D36 retired AI/source-brand attachment,
166,D,GENERIC,RENAME,shedslabconcrete-camden-166.jpg,shedslabconcrete-166.jpg,Shedslabconcrete,Shedslabconcrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
167,D,GENERIC,RENAME,garage-slabs-concrete-camden-167.jpg,garage-slabs-concrete-167.jpg,Garage slabs concrete,Garage slabs concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
168,D,GENERIC,RENAME,extension-and-floor-slabs-concrete-camden-168.jpg,extension-and-floor-slabs-concrete-168.jpg,Extension and floor slabs concrete,Extension and floor slabs concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
177,D,RETIRED,EXCLUDE,cropped-chatgpt-image-jul-6-2026-07-59-41-pm-camden-177.png,,,,D24/D36 retired AI/source-brand attachment,
181,D,GENERIC,RENAME,side-access-paths-concrete-camden-181.jpg,side-access-paths-concrete-181.jpg,Side access paths concrete,Side access paths concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
182,D,GENERIC,RENAME,concrete-garden-paths-and-connecting-paths-concrete-camden-182.jpg,concrete-garden-paths-and-connecting-paths-concrete-182.jpg,Concrete garden paths and connecting paths concrete,Concrete garden paths and connecting paths concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
183,D,GENERIC,RENAME,front-and-entry-paths-concrete-camden-183.jpg,front-and-entry-paths-concrete-183.jpg,Front and entry paths concrete,Front and entry paths concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
184,D,GENERIC,RENAME,accessible-paths-concrete-camden-184.jpg,accessible-paths-concrete-184.jpg,Accessible paths concrete,Accessible paths concrete,D24/D20 naming-convention reversal,decorative/non-evidential; no geographic or completed-project implication
