attachment_id,source_filename,current_filename,pages_used,page_slugs,page_classes,module,module_distribution,role,dimensions,aspect_ratio,current_alt_text,geographic_claim,depicts_actually,replacement_brief,must_not_contain,min_resolution,proposed_filename,proposed_alt_text,disposition
226,concretejob2werribee.jpg,concretejob2camden-226.jpg,14,commercial-concreting-gregory-hills;concrete-driveway-replacement-narellan;concrete-driveways-oran-park;concrete-slabs-bringelly;concrete-strength-grades-explained;concreters-bargo;concreters-cecil-park;concreters-elizabeth-hills;concreters-hoxton-park;concreters-mount-annan;concreters-spring-farm;exposed-aggregate-south-west-sydney;how-long-before-you-can-drive-on-concrete;slab-thickness-for-driveways-vs-sheds,suburb:6;intersection:4;guide:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=9; service tiles=Concrete Slabs:2;Exposed Aggregate:1;Paths & Pathways:1;Patios & Alfresco:1;Coloured & Decorative:1,inline,640x480,1.333,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Concretejob2camden in the context of Commercial Concreting Gregory Hills | Concretejob2camden in the context of Concrete Driveway Replacement Narellan | Concretejob2camden in the context of Concrete Driveways Oran Park | ...",Filename asserts the job is in Camden.,"A finished residential concrete slab, location not determinable from the image.","Freshly poured and finished residential concrete slab, mid-job, trowel marks visible, no people in frame, overcast daylight, landscape 4:3","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",640x480 or larger,residential-concrete-slab-finished-01.jpg,Freshly finished residential concrete slab,REPLACE
306,e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-306.png,8,about;concrete-patios-edmondson-park;concrete-patios-elderslie;concrete-patios-gledswood-hills;concrete-patios-south-west-sydney;contact;gallery;quote,utility:4;intersection:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=8; service tiles=none,logo/brand asset,512x512,1.0,"1 distinct, auto-generated as '<attachment title> in the context of <page title>' | CoreX Concreters Camden logo",Filename and alt assert this is the CoreX Camden logo.,The source Melbourne business's favicon symbol.,"n/a — this is a brand asset, not a photograph. It cannot be filled from a stock photo library. Owner direction required: commission a logo, supply an existing one, or confirm the source business's symbol may be used.",n/a,n/a,owner direction required,owner direction required,"HOLD — LOGO, NOT PHOTOGRAPHY"
307,cropped-e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-307.png,2,concrete-paths-edmondson-park;concrete-paths-south-west-sydney,intersection:1;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=2; service tiles=none,logo/brand asset,512x374,1.369,"1 distinct, auto-generated as '<attachment title> in the context of <page title>' | CoreX Concreters Camden logo",Filename and alt assert this is the CoreX Camden logo.,A cropped version of the source business's favicon symbol.,"n/a — this is a brand asset, not a photograph. It cannot be filled from a stock photo library. Owner direction required: commission a logo, supply an existing one, or confirm the source business's symbol may be used.",n/a,n/a,owner direction required,owner direction required,"HOLD — LOGO, NOT PHOTOGRAPHY"
422,cropped-e_t_co_concreters_favicon_512_symbol_only-1.png,corex-concreters-camden-logo-422.png,0,,,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=0; service tiles=none,logo/brand asset,512x364,1.407,Corex concreters camden logo,Filename and alt assert this is the CoreX Camden logo.,A second cropped version of the source business's favicon symbol.,"n/a — this is a brand asset, not a photograph. It cannot be filled from a stock photo library. Owner direction required: commission a logo, supply an existing one, or confirm the source business's symbol may be used.",n/a,n/a,owner direction required,owner direction required,"HOLD — LOGO, NOT PHOTOGRAPHY"
480,pointcook1.webp,oran-park1-480.webp,14,commercial-concreting-narellan;concrete-driveway-replacement-south-west-sydney;concrete-driveways-south-west-sydney;concrete-slabs-gledswood-hills;concrete-vs-pavers-vs-asphalt;concreters-bringelly;concreters-cobbitty;concreters-gilead;concreters-kemps-creek;concreters-mount-annan;concreters-tahmoor;exposed-aggregate-vs-plain-concrete;liverpool-council-vehicle-crossing;stencilled-vs-stamped-concrete-cost,suburb:6;guide:3;intersection:2;service:2;cost_comparison:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=9; service tiles=Patios & Alfresco:2;Coloured & Decorative:2;Concrete Slabs in Bringelly:1;Exposed Aggregate:1;Paths & Pathways:1,inline,1280x960,1.333,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Oran park1 in the context of Commercial Concreting Narellan | Oran park1 in the context of Concrete Driveway Replacement South West Sydney | Oran park1 in the context of Concrete Driveways South West Sydney | ...","Filename asserts Oran Park, NSW.","A Point Cook, VIC residential streetscape.","Australian suburban residential street, single-storey brick-and-tile homes, concrete driveways visible from kerb, native street trees, clear daylight, landscape 4:3","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",1280x960 or larger,suburban-street-concrete-driveways-01.webp,Suburban street with concrete driveways to single-storey homes,REPLACE
481,pointcook2.webp,oran-park2-481.webp,14,broom-finish-concrete;commercial-concreting-narellan;concrete-driveway-replacement-south-west-sydney;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-kemps-creek;concreters-narellan-vale;concreters-tahmoor;control-joints-and-saw-cut-timing;non-slip-finishes-for-pools-and-slopes;what-actually-moves-a-concrete-quote,suburb:6;guide:4;intersection:2;service:2,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=8; service tiles=Concrete Driveways:2;Paths & Pathways:2;Exposed Aggregate in Bringelly:1;Patios & Alfresco:1;Coloured & Decorative:1,inline,1280x960,1.333,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Oran park2 in the context of Broom Finish Concrete | Oran park2 in the context of Commercial Concreting Narellan | Oran park2 in the context of Concrete Driveway Replacement South West Sydney | ...","Filename asserts Oran Park, NSW.","A Point Cook, VIC residential streetscape.","Plain broom-finished concrete driveway running from kerb to a single garage, clean control joints, no vehicles, overcast daylight, landscape 4:3","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",1280x960 or larger,broom-finish-concrete-driveway-01.webp,Broom-finished concrete driveway leading to a single garage,REPLACE
482,pointcook3.webp,oran-park3-482.webp,14,broom-finish-concrete;commercial-concreting-narellan;concrete-driveways-austral;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-kirkham;concreters-narellan-vale;concreters-the-oaks;control-joints-and-saw-cut-timing;non-slip-finishes-for-pools-and-slopes;what-actually-moves-a-concrete-quote,suburb:6;guide:4;intersection:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=8; service tiles=Concrete Slabs:2;Concrete Driveways:2;Patios & Alfresco in Bringelly:1;Coloured & Decorative in Bringelly:1;Paths & Pathways:1,inline,765x1020,0.75,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Oran park3 in the context of Broom Finish Concrete | Oran park3 in the context of Commercial Concreting Narellan | Oran park3 in the context of Concrete Driveways Austral | ...","Filename asserts Oran Park, NSW.","A Point Cook, VIC residential view, portrait orientation.","Close vertical crop of a concrete edge and control joint against garden bed, shallow depth of field, portrait 3:4","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",765x1020 or larger,concrete-edge-control-joint-01.webp,Concrete driveway edge and control joint beside a garden bed,REPLACE
906,excavation-werribee.jpg,driveway-excavation-camden-906.jpg,14,broom-finish-concrete;commercial-concreting-narellan;concrete-driveways-austral;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-kirkham;concreters-narellan-vale;concreters-the-oaks;control-joints-and-saw-cut-timing;non-slip-finishes-for-pools-and-slopes;what-actually-moves-a-concrete-quote,suburb:6;guide:4;intersection:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=10; service tiles=Patios & Alfresco:2;Coloured & Decorative:2;Exposed Aggregate:2,inline,738x384,1.922,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Driveway excavation camden in the context of Broom Finish Concrete | Driveway excavation camden in the context of Commercial Concreting Narellan | Driveway excavation camden in the context of Concrete Driveways Austral | ...",Filename and alt assert the excavation is in Camden.,"A driveway excavation in Werribee, VIC.","Excavator bucket cutting a driveway sub-base, exposed subgrade and spoil pile, no operator face visible, daylight, wide landscape 2:1","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",738x384 or larger,driveway-excavation-subbase-01.jpg,Excavation of a driveway sub-base before pouring,REPLACE
907,werribee-town.jpg,camden-town-centre-907.jpg,14,broom-finish-concrete;commercial-concreting-narellan;concrete-driveways-austral;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-kirkham;concreters-narellan-vale;concreters-the-oaks;control-joints-and-saw-cut-timing;non-slip-finishes-for-pools-and-slopes;what-actually-moves-a-concrete-quote,suburb:6;guide:4;intersection:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=10; service tiles=Paths & Pathways:2;Patios & Alfresco:2;Coloured & Decorative:2,inline,515x388,1.327,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Camden town centre in the context of Broom Finish Concrete | Camden town centre in the context of Commercial Concreting Narellan | Camden town centre in the context of Concrete Driveways Austral | ...",Filename and alt assert this is Camden town centre.,"Werribee town centre, VIC.","Australian suburban streetscape with kerb, footpath and vehicle crossing, no shopfront signage, overcast daylight, landscape 4:3","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",515x388 or larger,suburban-street-kerb-and-crossing-01.jpg,"Suburban street showing kerb, footpath and a vehicle crossing",REPLACE
908,new-estates-werribee.jpg,oran-park-growth-estate-908.jpg,14,broom-finish-concrete;commercial-concreting-narellan;concrete-driveways-austral;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-kirkham;concreters-narellan;concreters-the-oaks;control-joints-and-saw-cut-timing;non-slip-finishes-for-pools-and-slopes;what-actually-moves-a-concrete-quote,suburb:6;guide:4;intersection:3;service:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=11; service tiles=Paths & Pathways:2;Concrete Driveways:1,inline,534x374,1.428,"14 distinct, auto-generated as '<attachment title> in the context of <page title>' | Oran park growth estate in the context of Broom Finish Concrete | Oran park growth estate in the context of Commercial Concreting Narellan | Oran park growth estate in the context of Concrete Driveways Austral | ...",Filename and alt assert an Oran Park growth estate.,"A new-estate development in Werribee, VIC.","New-build residential estate under construction, house frames and fresh concrete slabs, no signage or branding, daylight, landscape 3:2","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",534x374 or larger,new-residential-estate-slabs-01.jpg,New residential estate with recently poured house slabs,REPLACE
924,coloured-concrete-melbourne.png,coloured-concrete-south-west-sydney-924.png,15,campbelltown-council-driveway-crossing;commercial-concreting-south-west-sydney;concrete-driveways-austral;concrete-driveways-south-west-sydney;concrete-slabs-gregory-hills;concreters-bringelly;concreters-cobbitty;concreters-gledswood-hills;concreters-len-waters-estate;concreters-narellan;concreters-theresa-park;curing-concrete-in-summer-vs-winter;guides;reactive-clay-slabs-as2870;why-concrete-cracks,suburb:6;guide:4;service:2;intersection:2;guide_hub:1,GENERIC DECORATIVE SLOT — not subject-matched to any built module; see reports/33-image-replacement-spec.md §3,plain image widget=12; service tiles=Concrete Slabs:2;Exposed Aggregate:1,inline,1200x1200,1.0,"15 distinct, auto-generated as '<attachment title> in the context of <page title>' | Coloured concrete south west sydney in the context of Campbelltown Council Driveway Crossing | Coloured concrete south west sydney in the context of Commercial Concreting South West Sydney | Coloured concrete south west sydney in the context of Concrete Driveways Austral | ...",Filename and alt assert South West Sydney.,"A coloured concrete finish photographed in Melbourne, VIC.","Coloured (oxide) concrete surface, close overhead crop showing colour and texture, even daylight, square 1:1","identifiable faces; number plates; visible business signage or branding; non-Australian architecture, vegetation or road markings; left-hand-drive vehicles; snow; competitor branding",1200x1200 or larger,coloured-oxide-concrete-finish-01.png,Coloured oxide concrete surface finish,REPLACE
