claim_id,register_scope,category,page_id,slug,page_type,intended_status,exact_claim,matched_text,placement,widget_type,evidence_citation,evidence_status,required_disposition,blocks_staging,blocks_publication,final_disposition,final_text,disposition_authority,final_blocks_staging,final_blocks_publication
LEG-0001,legacy_232,fixed_price_on_site_quote,474,concreters-oran-park,suburb,publish,"Oran Park sits at the geographic centre of the Camden LGA and it's where most of our work starts — new driveways at handover, alfresco slabs once the landscaping goes in, and shed slabs out the back a year later. One local detail worth knowing before anyone quotes you: the footpath allocation in Oran Park starts 800mm from your property boundary, not the 900mm that applies across the rest of Camden. Get the crossover set-out wrong by that 100mm and it fails inspection. We build driveways, slabs, paths and outdoor areas across Oran Park with proper base preparation, correct reinforcement and a fixed price before we start.",fixed price,_elementor_data:$[0].elements[1].settings.editor,text-editor,NONE — data/verified-facts.yml pricing and owner attestation 21 August 2026,UNSUPPORTED,remove the promise; say only that job-specific quotations and terms must be confirmed,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,"Structure Co Concreters Camden manages concreting enquiries and coordinates suitable independent providers. Job-specific quotations, contractual terms, licensing, insurance and warranty information must be confirmed before work begins.","owner attestation and remediation authority, 21 August 2026; Oran Park direct-contractor claim replaced with role disclosure",False,False
LEG-0002,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,"Oran Park sits at the geographic centre of the Camden LGA and it's where most of our work starts — new driveways at handover, alfresco slabs once the landscaping goes in, and shed slabs out the back a year later. One local detail worth knowing before anyone quotes you: the footpath allocation in Oran Park starts 800mm from your property boundary, not the 900mm that applies across the rest of Camden. Get the crossover set-out wrong by that 100mm and it fails inspection. We build driveways, slabs, paths and outdoor areas across Oran Park with proper base preparation, correct reinforcement and a fixed price before we start.",our work starts | We build,_elementor_data:$[0].elements[1].settings.editor,text-editor,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,"Structure Co Concreters Camden manages concreting enquiries and coordinates suitable independent providers. Job-specific quotations, contractual terms, licensing, insurance and warranty information must be confirmed before work begins.","owner attestation and remediation authority, 21 August 2026; Oran Park direct-contractor claim replaced with role disclosure",False,False
LEG-0003,legacy_232,local_operation_or_premises,474,concreters-oran-park,suburb,publish,"Oran Park sits at the geographic centre of the Camden LGA and it's where most of our work starts — new driveways at handover, alfresco slabs once the landscaping goes in, and shed slabs out the back a year later. One local detail worth knowing before anyone quotes you: the footpath allocation in Oran Park starts 800mm from your property boundary, not the 900mm that applies across the rest of Camden. Get the crossover set-out wrong by that 100mm and it fails inspection. We build driveways, slabs, paths and outdoor areas across Oran Park with proper base preparation, correct reinforcement and a fixed price before we start.",most of our work starts,_elementor_data:$[0].elements[1].settings.editor,text-editor,NONE — administrative office is not customer-facing; service_areas remains unverified,UNSUPPORTED,remove local-contractor/premises implication,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,"Structure Co Concreters Camden manages concreting enquiries and coordinates suitable independent providers. Job-specific quotations, contractual terms, licensing, insurance and warranty information must be confirmed before work begins.","owner attestation and remediation authority, 21 August 2026; Oran Park direct-contractor claim replaced with role disclosure",False,False
LEG-0004,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,"Whatever the pour, we match you with concreters who do it every week.",we match | concreters who do it,_elementor_data:$[1].elements[1].settings.editor,text-editor,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,"Structure Co Concreters Camden manages concreting enquiries and coordinates suitable independent providers. Job-specific quotations, contractual terms, licensing, insurance and warranty information must be confirmed before work begins.","owner attestation and remediation authority, 21 August 2026; Oran Park direct-contractor claim replaced with role disclosure",False,False
LEG-0005,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,How we prepare the ground in Oran Park,we prepare,_elementor_data:$[6].elements[1].elements[0].elements[0].settings.title.value.content.value,e-heading,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,NEUTRALISED_WITH_ATTESTED_OR_NONCLAIM_WORDING,Site information to confirm with an independent provider,"owner attestation and remediation authority, 21 August 2026; direct preparation heading neutralised",False,False
LEG-0006,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,"On a handover lot the driveway area usually still has builder's spoil, offcuts and a compacted haul route through it. That comes out first. We excavate to depth, identify anything soft or organic, and remove it rather than covering it over. Then a compacted crushed-rock base goes in, so the slab sits on uniform support instead of a mix of undisturbed clay and loose fill. That step matters most under the driveway and garage approach, where vehicle loads concentrate. Reinforcement goes in on bar chairs so the steel sits inside the slab rather than lying on the dirt — mesh on the ground does almost nothing. Camden Council specifies SL72 fabric in a 125mm slab at 32 MPa for a residential crossing, and that's the standard we build the whole driveway to, not just the section on council land. The Oran Park evidence register identifies Oran Park Precinct DCP 2007, Oran Park Estate Design Guidelines and Camden Growth Centres LEP 2008 and records the local housing period as 2011–present, masterplanned. Access evidence for Oran Park is anchored to Oran Park Drive, Peter Brock Drive, Central Avenue and Dick Johnson Drive; the Oran Park locality references are Oran Park Podium, Julia Reserve, Oran Park Library, Oran Park Anglican College, Oran Park Public School, Oran Park Homestead (State Heritage Register, 1837–1946) and former Oran Park Raceway. The researched Oran Park job record contains Two-car driveway and crossover at handover (350–450sqm lots), Alfresco and side-path slabs post-handover, Colorbond shed slabs in rear yards and Exposed aggregate upgrades on the Hermitage releases. These Oran Park examples describe the supplied job mix rather than a claim about an unverified project. The unresolved Oran Park checks are framed by these supplied questions: Do I need the driveway finished before I can get my Occupation Certificate in Oran Park?, Why is the footpath set-out different in Oran Park to the rest of Camden? and Can I pour a shed slab straight onto the fill in my Oran Park backyard?. Each Oran Park answer must retain its cited council, planning, engineering or operator source. The Oran Park development references supplied for research are Oran Park Town (Greenfields Development Company) and The Hermitage. The Oran Park page treats those names as source leads, not as proof of a Structure Co project. The supplied Oran Park job weighting is new build 75%, replacement 10%, decorative 10% and commercial 5%. The Oran Park service emphasis follows that recorded mix. The Oran Park research brief assigns postcode 2570, authority Camden Council and primary query concreters oran park. Those Oran Park identifiers must agree across the import record. The supplied Oran Park query set is concreter oran park, concreting oran park, concrete driveway oran park, exposed aggregate oran park, concrete slab oran park, driveway crossover oran park, shed slab oran park and concrete contractors oran park nsw. The Oran Park body uses that set only where the researched ground, approval or job evidence supports the wording. Oran Park separates its concrete driveways evidence from the general Oran Park brief; Concrete Driveways in Oran Park carries that service decision.",We excavate | we build,_elementor_data:$[6].elements[1].elements[0].elements[1].settings.editor,text-editor,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; invented researched-job-record construction removed | unsupported direct-work and invented job-record field removed",False,False
LEG-0007,legacy_232,researched_job_record,474,concreters-oran-park,suburb,publish,"On a handover lot the driveway area usually still has builder's spoil, offcuts and a compacted haul route through it. That comes out first. We excavate to depth, identify anything soft or organic, and remove it rather than covering it over. Then a compacted crushed-rock base goes in, so the slab sits on uniform support instead of a mix of undisturbed clay and loose fill. That step matters most under the driveway and garage approach, where vehicle loads concentrate. Reinforcement goes in on bar chairs so the steel sits inside the slab rather than lying on the dirt — mesh on the ground does almost nothing. Camden Council specifies SL72 fabric in a 125mm slab at 32 MPa for a residential crossing, and that's the standard we build the whole driveway to, not just the section on council land. The Oran Park evidence register identifies Oran Park Precinct DCP 2007, Oran Park Estate Design Guidelines and Camden Growth Centres LEP 2008 and records the local housing period as 2011–present, masterplanned. Access evidence for Oran Park is anchored to Oran Park Drive, Peter Brock Drive, Central Avenue and Dick Johnson Drive; the Oran Park locality references are Oran Park Podium, Julia Reserve, Oran Park Library, Oran Park Anglican College, Oran Park Public School, Oran Park Homestead (State Heritage Register, 1837–1946) and former Oran Park Raceway. The researched Oran Park job record contains Two-car driveway and crossover at handover (350–450sqm lots), Alfresco and side-path slabs post-handover, Colorbond shed slabs in rear yards and Exposed aggregate upgrades on the Hermitage releases. These Oran Park examples describe the supplied job mix rather than a claim about an unverified project. The unresolved Oran Park checks are framed by these supplied questions: Do I need the driveway finished before I can get my Occupation Certificate in Oran Park?, Why is the footpath set-out different in Oran Park to the rest of Camden? and Can I pour a shed slab straight onto the fill in my Oran Park backyard?. Each Oran Park answer must retain its cited council, planning, engineering or operator source. The Oran Park development references supplied for research are Oran Park Town (Greenfields Development Company) and The Hermitage. The Oran Park page treats those names as source leads, not as proof of a Structure Co project. The supplied Oran Park job weighting is new build 75%, replacement 10%, decorative 10% and commercial 5%. The Oran Park service emphasis follows that recorded mix. The Oran Park research brief assigns postcode 2570, authority Camden Council and primary query concreters oran park. Those Oran Park identifiers must agree across the import record. The supplied Oran Park query set is concreter oran park, concreting oran park, concrete driveway oran park, exposed aggregate oran park, concrete slab oran park, driveway crossover oran park, shed slab oran park and concrete contractors oran park nsw. The Oran Park body uses that set only where the researched ground, approval or job evidence supports the wording. Oran Park separates its concrete driveways evidence from the general Oran Park brief; Concrete Driveways in Oran Park carries that service decision.",The researched Oran Park job record contains,_elementor_data:$[6].elements[1].elements[0].elements[1].settings.editor,text-editor,NONE — DECISION-06 D32: no Camden job record exists,UNSUPPORTED,remove the invented job-record construction,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; invented researched-job-record construction removed | unsupported direct-work and invented job-record field removed",False,False
LEG-0008,legacy_232,contractor_operator_claim,474,concreters-oran-park,suburb,publish,"Any driveway that crosses council land needs Camden Council approval before it's poured. For a standard job that's the Standard Residential Driveway Crossing Application; where the site can't meet the standard specification — a steep grade, an awkward corner lot, a commercial access — it's the Non-Standard Driveway Application instead, with an explanation of why. Camden's specification for an urban residential crossover is 4.0m minimum to 5.5m maximum width, 125mm thick, 32 MPa concrete, SL72 reinforcing fabric. The footpath allocation is 1200mm wide and, in Oran Park specifically, starts 800mm from your property boundary rather than the 900mm that applies elsewhere in the LGA. Licence and public liability insurance details aren't required at lodgement but must be with Council before work starts. We handle the application and the inspections as part of the job so you're not chasing Council yourself. [[VERIFY: confirm whether the Oran Park estate design guidelines require the driveway to be complete before the Occupation Certificate is issued — check the current Oran Park Estate Design Guidelines before publishing this claim.]] Oran Park uses the engineered fill and why new estate slabs crack reference for Oran Park when the Oran Park evidence reaches that topic; the lot record still controls the decision. Oran Park separates its exposed aggregate concrete evidence from the general Oran Park brief; Exposed Aggregate Concrete in Oran Park carries that service decision.",We handle,_elementor_data:$[8].elements[0].elements[1].elements[0].elements[1].settings.editor,text-editor,"NONE — owner operating-model attestation, 21 August 2026",UNSUPPORTED,replace direct-contractor wording with the authorised enquiry-coordination disclosure,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; unattested Camden specification and direct application claim removed",False,False
LEG-0009,legacy_232,completed_job_count_or_recent_work,474,concreters-oran-park,suburb,publish,Local Work Completed,Local Work Completed,_elementor_data:$[9].elements[0].settings.title.value.content.value,e-heading,NONE — DECISION-06 D32; completed_projects verified:false and empty,UNSUPPORTED,remove completed-project claim,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026; unsupported completed-local-work heading removed",False,False
LEG-0010,legacy_232,fixed_price_on_site_quote,474,concreters-oran-park,suburb,publish,Fixed-Price On-Site Quotes in Oran Park,Fixed-Price On-Site Quotes,_elementor_data:$[11].elements[1].elements[0].settings.title_text,icon-box,NONE — data/verified-facts.yml pricing and owner attestation 21 August 2026,UNSUPPORTED,remove the promise; say only that job-specific quotations and terms must be confirmed,True,True,REMOVED_WITHOUT_REPLACEMENT,,"owner attestation and remediation authority, 21 August 2026",False,False
